scenario_id,family,B_success,A_residue,uptake_correct,recognized_A_residue,behavior_valid,uptake_valid,RAR_upper,N,A_residue_count,recognized_A_residue_count,uptake_correct_count,A_residue_given_correct_uptake
shipping,factual,1.0,0.0,1.0,0.0,1.0,1.0,0.0,8,0,0,8,0.0
shipping,objective,0.08333333333333333,0.375,1.0,0.375,1.0,1.0,0.375,24,9,9,24,0.375
